input_file, Card, PC, PCSA, HLL, KMV, MC, RC
datasets/crusoe.txt, 6245, 5295, 6619, 7339, 6159, 5737, 6767
datasets/crusoe.txt, 6245, 5295, 6288, 6560, 5720, 5954, 6793
datasets/crusoe.txt, 6245, 2647, 6288, 6438, 6065, 5900, 6333
datasets/crusoe.txt, 6245, 10590, 5957, 6023, 6745, 6576, 6741
datasets/crusoe.txt, 6245, 21181, 5957, 5913, 6015, 5818, 6333
datasets/crusoe.txt, 6245, 21181, 5957, 5968, 6302, 6003, 6333
datasets/crusoe.txt, 6245, 21181, 6288, 6981, 6434, 6691, 6483
datasets/crusoe.txt, 6245, 2647, 6288, 6101, 5903, 6068, 7009
datasets/crusoe.txt, 6245, 5295, 5957, 6001, 5958, 6253, 6534
datasets/crusoe.txt, 6245, 10590, 5957, 6204, 5379, 5929, 5996
datasets/crusoe.txt, 6245, 2647, 6288, 5482, 6699, 5872, 6741
datasets/crusoe.txt, 6245, 2647, 5957, 6465, 5777, 6022, 5767
datasets/crusoe.txt, 6245, 5295, 6288, 6245, 6489, 6182, 6407
datasets/crusoe.txt, 6245, 5295, 5957, 6039, 5991, 5909, 5503
datasets/crusoe.txt, 6245, 5295, 6288, 6373, 6382, 6087, 6458
datasets/crusoe.txt, 6245, 10590, 6288, 6579, 5817, 5975, 6873
datasets/crusoe.txt, 6245, 5295, 6288, 6420, 6712, 6469, 6358
datasets/crusoe.txt, 6245, 21181, 5626, 5645, 5614, 5838, 5231
datasets/crusoe.txt, 6245, 1323, 6288, 6559, 6285, 5890, 5835
datasets/crusoe.txt, 6245, 5295, 6619, 6220, 6040, 6480, 5656
datasets/crusoe.txt, 6245, 5295, 5957, 5755, 6589, 6000, 6067
datasets/crusoe.txt, 6245, 1323, 5957, 5727, 6171, 6549, 5700
datasets/crusoe.txt, 6245, 5295, 6288, 6308, 6198, 6279, 6333
datasets/crusoe.txt, 6245, 2647, 6619, 7330, 6468, 6343, 5397
datasets/crusoe.txt, 6245, 10590, 5957, 6342, 5467, 5810, 6020
datasets/crusoe.txt, 6245, 10590, 5957, 6345, 5874, 6156, 6508
datasets/crusoe.txt, 6245, 2647, 6288, 5807, 6132, 5903, 5439
datasets/crusoe.txt, 6245, 10590, 6288, 6389, 5861, 6254, 6284
datasets/crusoe.txt, 6245, 10590, 6619, 6796, 5898, 6616, 7064
datasets/crusoe.txt, 6245, 2647, 5626, 6335, 6364, 6265, 5973
datasets/crusoe.txt, 6245, 2647, 6619, 5761, 6081, 6277, 6162
datasets/crusoe.txt, 6245, 10590, 5626, 6855, 6087, 6378, 5231
datasets/crusoe.txt, 6245, 21181, 5957, 5661, 6946, 6691, 6407
datasets/crusoe.txt, 6245, 21181, 5957, 6093, 5811, 5879, 5612
datasets/crusoe.txt, 6245, 42362, 5957, 6652, 6148, 6683, 6067
datasets/crusoe.txt, 6245, 21181, 5626, 6318, 6213, 5955, 6211
datasets/crusoe.txt, 6245, 10590, 5957, 6535, 6256, 6348, 6559
datasets/crusoe.txt, 6245, 1323, 5957, 5942, 6428, 6051, 5503
datasets/crusoe.txt, 6245, 10590, 5626, 5575, 6585, 6475, 6662
datasets/crusoe.txt, 6245, 2647, 5957, 6134, 6713, 6610, 5612
datasets/crusoe.txt, 6245, 21181, 5626, 5757, 6326, 6181, 6186
datasets/crusoe.txt, 6245, 21181, 5957, 6767, 5976, 6203, 5996
datasets/crusoe.txt, 6245, 1323, 6288, 6289, 6544, 6603, 5881
datasets/crusoe.txt, 6245, 10590, 5957, 5718, 6794, 6042, 5071
datasets/crusoe.txt, 6245, 10590, 6288, 5424, 7004, 6150, 5812
datasets/crusoe.txt, 6245, 2647, 5957, 6186, 6232, 6323, 7203
datasets/crusoe.txt, 6245, 5295, 5295, 5917, 6027, 5961, 5355
datasets/crusoe.txt, 6245, 10590, 5626, 6013, 5643, 5839, 6407
datasets/crusoe.txt, 6245, 21181, 5957, 6283, 6269, 6282, 6358
datasets/crusoe.txt, 6245, 10590, 6288, 6071, 5458, 5565, 7036
datasets/crusoe.txt, 6245, 10590, 5957, 6381, 6110, 6289, 6534
datasets/crusoe.txt, 6245, 2647, 5957, 6446, 6386, 6186, 6138
datasets/crusoe.txt, 6245, 10590, 6288, 6397, 6105, 6108, 6585
datasets/crusoe.txt, 6245, 5295, 6288, 6008, 5966, 6008, 6138
datasets/crusoe.txt, 6245, 5295, 5626, 6183, 6717, 6608, 7373
datasets/crusoe.txt, 6245, 21181, 6619, 5673, 5978, 6029, 7009
datasets/crusoe.txt, 6245, 5295, 5957, 5832, 6149, 5968, 5996
datasets/crusoe.txt, 6245, 5295, 5626, 6153, 6452, 6043, 5996
datasets/crusoe.txt, 6245, 10590, 6619, 6586, 7067, 6590, 6358
datasets/crusoe.txt, 6245, 21181, 5957, 5857, 5973, 6084, 6043
datasets/crusoe.txt, 6245, 5295, 5957, 6341, 5612, 5561, 5130
datasets/crusoe.txt, 6245, 5295, 6288, 6879, 6441, 6161, 7203
datasets/crusoe.txt, 6245, 10590, 6288, 5829, 6989, 6424, 5835
datasets/crusoe.txt, 6245, 21181, 6288, 6098, 6244, 5694, 6611
datasets/crusoe.txt, 6245, 10590, 5957, 6241, 5671, 5723, 6115
datasets/crusoe.txt, 6245, 5295, 6288, 6926, 5931, 5904, 6873
datasets/crusoe.txt, 6245, 21181, 5957, 5596, 6107, 6261, 6020
datasets/crusoe.txt, 6245, 1323, 6288, 5858, 5919, 6235, 6138
datasets/crusoe.txt, 6245, 2647, 5626, 6454, 6205, 6019, 6067
datasets/crusoe.txt, 6245, 5295, 6288, 6455, 5758, 5821, 6162
datasets/crusoe.txt, 6245, 5295, 5957, 6039, 5977, 6460, 6847
datasets/crusoe.txt, 6245, 10590, 6288, 5840, 5941, 6134, 5293
datasets/crusoe.txt, 6245, 5295, 5957, 6423, 6019, 5667, 6458
datasets/crusoe.txt, 6245, 5295, 5957, 6328, 6170, 6199, 7287
datasets/crusoe.txt, 6245, 5295, 6288, 6312, 5635, 5693, 6585
datasets/crusoe.txt, 6245, 10590, 5626, 6758, 6420, 6335, 6585
datasets/crusoe.txt, 6245, 2647, 5626, 6117, 5819, 5532, 6067
datasets/crusoe.txt, 6245, 21181, 6619, 6584, 5299, 5680, 5418
datasets/crusoe.txt, 6245, 5295, 6288, 6178, 6878, 6613, 5950
datasets/crusoe.txt, 6245, 2647, 6288, 5714, 6173, 6166, 5272
datasets/crusoe.txt, 6245, 42362, 5957, 6776, 5860, 5756, 7431
datasets/crusoe.txt, 6245, 10590, 5957, 5630, 6327, 6430, 5722
datasets/crusoe.txt, 6245, 5295, 6288, 7127, 7007, 7228, 5231
datasets/crusoe.txt, 6245, 5295, 5957, 6421, 6533, 6622, 5568
datasets/crusoe.txt, 6245, 5295, 6288, 6678, 5723, 6269, 6508
datasets/crusoe.txt, 6245, 2647, 5626, 5972, 6590, 7179, 5678
datasets/crusoe.txt, 6245, 10590, 6288, 6439, 5986, 5812, 5525
datasets/crusoe.txt, 6245, 5295, 5957, 6034, 6373, 6102, 6308
datasets/crusoe.txt, 6245, 10590, 5957, 6402, 5742, 5817, 6714
datasets/crusoe.txt, 6245, 2647, 5626, 5354, 5860, 5737, 5252
datasets/crusoe.txt, 6245, 2647, 6619, 6093, 7045, 6402, 6091
datasets/crusoe.txt, 6245, 10590, 5957, 5745, 6382, 6200, 6067
datasets/crusoe.txt, 6245, 1323, 6288, 6284, 5452, 5122, 5525
datasets/crusoe.txt, 6245, 21181, 6288, 5327, 5676, 5972, 6383
datasets/crusoe.txt, 6245, 2647, 5957, 5998, 6254, 6542, 7009
datasets/crusoe.txt, 6245, 2647, 6288, 6361, 6334, 6178, 6483
datasets/crusoe.txt, 6245, 1323, 6288, 6065, 5501, 5777, 6585
datasets/crusoe.txt, 6245, 2647, 5957, 5786, 6480, 6534, 6927
datasets/crusoe.txt, 6245, 2647, 6288, 6649, 6653, 6565, 6534
datasets/crusoe.txt, 6245, 10590, 5626, 5836, 6711, 6485, 5678
datasets/dracula.txt, 9425, 5295, 8935, 9380, 9149, 9674, 10473
datasets/dracula.txt, 9425, 10590, 9266, 9451, 9338, 10066, 10191
datasets/dracula.txt, 9425, 10590, 9266, 8783, 9094, 9275, 8822
datasets/dracula.txt, 9425, 21181, 8604, 8896, 8636, 8231, 8995
datasets/dracula.txt, 9425, 21181, 9597, 10174, 10554, 9984, 9537
datasets/dracula.txt, 9425, 21181, 8604, 9646, 8934, 9269, 7402
datasets/dracula.txt, 9425, 5295, 8604, 9612, 8890, 8994, 8787
datasets/dracula.txt, 9425, 10590, 9597, 9817, 8692, 8857, 9500
datasets/dracula.txt, 9425, 2647, 9928, 9431, 8764, 9503, 7577
datasets/dracula.txt, 9425, 42362, 8935, 9164, 9446, 9112, 8787
datasets/dracula.txt, 9425, 21181, 8935, 8908, 10251, 9574, 9173
datasets/dracula.txt, 9425, 5295, 9928, 8946, 9336, 9357, 9317
datasets/dracula.txt, 9425, 5295, 8935, 9011, 9537, 9062, 8451
datasets/dracula.txt, 9425, 5295, 9597, 9223, 9860, 9870, 8321
datasets/dracula.txt, 9425, 10590, 9597, 8550, 9329, 9503, 9649
datasets/dracula.txt, 9425, 10590, 8604, 9499, 8881, 8979, 9353
datasets/dracula.txt, 9425, 21181, 8935, 9500, 9644, 10321, 7909
datasets/dracula.txt, 9425, 42362, 9597, 10083, 9303, 9125, 9317
datasets/dracula.txt, 9425, 10590, 9597, 10707, 9030, 8825, 9101
datasets/dracula.txt, 9425, 10590, 9928, 8958, 10197, 10182, 9801
datasets/dracula.txt, 9425, 10590, 9266, 9530, 9047, 9493, 8926
datasets/dracula.txt, 9425, 21181, 9597, 8666, 9369, 9895, 9916
datasets/dracula.txt, 9425, 10590, 10590, 10527, 9541, 9893, 11818
datasets/dracula.txt, 9425, 21181, 8935, 9237, 8774, 9441, 10391
datasets/dracula.txt, 9425, 10590, 9928, 9943, 8356, 8781, 8651
datasets/dracula.txt, 9425, 10590, 9266, 9849, 9567, 8364, 9574
datasets/dracula.txt, 9425, 21181, 10259, 10687, 9694, 10117, 8995
datasets/dracula.txt, 9425, 2647, 8604, 9487, 9941, 9414, 10596
datasets/dracula.txt, 9425, 5295, 8935, 9474, 10103, 10090, 8651
datasets/dracula.txt, 9425, 21181, 8935, 8564, 9083, 9155, 8822
datasets/dracula.txt, 9425, 2647, 8935, 10049, 9383, 8757, 9500
datasets/dracula.txt, 9425, 10590, 10259, 10015, 8476, 9812, 8651
datasets/dracula.txt, 9425, 5295, 8935, 9351, 7700, 7749, 8321
datasets/dracula.txt, 9425, 5295, 8935, 9565, 8728, 8191, 9353
datasets/dracula.txt, 9425, 10590, 9928, 10047, 9113, 9201, 10637
datasets/dracula.txt, 9425, 10590, 8604, 8853, 9184, 9112, 8451
datasets/dracula.txt, 9425, 10590, 9597, 9383, 9609, 9193, 8128
datasets/dracula.txt, 9425, 5295, 8935, 9103, 8923, 9996, 9353
datasets/dracula.txt, 9425, 10590, 9597, 9245, 9382, 9241, 7909
datasets/dracula.txt, 9425, 10590, 9597, 10725, 8257, 8837, 10679
datasets/dracula.txt, 9425, 21181, 9266, 10199, 9423, 8683, 8926
datasets/dracula.txt, 9425, 5295, 8935, 9254, 10740, 10446, 9763
