input_file, Read, PC, PCSA, HLL, KMV, MC, RC
datasets/crusoe.txt, 0.00194304, 0.0023512, 0.00241822, 0.0024495, 0.00778169, 0.00307302, 0.00504113
datasets/crusoe.txt, 0.00192265, 0.00253663, 0.00245207, 0.00273389, 0.00803393, 0.00310004, 0.00485843
datasets/crusoe.txt, 0.00214201, 0.00247506, 0.00248377, 0.0024162, 0.00800162, 0.00340825, 0.0061358
datasets/crusoe.txt, 0.00202831, 0.00237815, 0.00267025, 0.00264662, 0.0077538, 0.00309913, 0.00485938
datasets/crusoe.txt, 0.0019088, 0.00232202, 0.00239692, 0.00242088, 0.00779885, 0.00306727, 0.00494913
datasets/crusoe.txt, 0.00195097, 0.00238306, 0.00269469, 0.00245026, 0.00781496, 0.00312169, 0.00512158
datasets/crusoe.txt, 0.00198979, 0.00230161, 0.00235328, 0.00254628, 0.00795162, 0.00376093, 0.00484403
datasets/crusoe.txt, 0.00191844, 0.00231681, 0.00240836, 0.00252423, 0.00841886, 0.0030354, 0.00480571
datasets/crusoe.txt, 0.00203112, 0.00245102, 0.00390945, 0.00260843, 0.00766036, 0.0037853, 0.00593637
datasets/crusoe.txt, 0.00204939, 0.00234591, 0.00241641, 0.00255074, 0.00884289, 0.00604428, 0.0049689
datasets/crusoe.txt, 0.00195395, 0.00241052, 0.00242273, 0.0024631, 0.00790311, 0.00310018, 0.00479527
datasets/crusoe.txt, 0.00200194, 0.00235884, 0.00273972, 0.00239235, 0.00791025, 0.00327204, 0.00530396
datasets/crusoe.txt, 0.00204021, 0.00230386, 0.00243765, 0.00250976, 0.00798352, 0.00341845, 0.0048466
datasets/crusoe.txt, 0.00190925, 0.00236256, 0.00240572, 0.00247843, 0.00800783, 0.00308279, 0.00487129
datasets/crusoe.txt, 0.00209248, 0.00269631, 0.00275501, 0.00243412, 0.00847712, 0.00310172, 0.00500673
datasets/crusoe.txt, 0.00239554, 0.00241339, 0.00233859, 0.00519136, 0.0105212, 0.00304745, 0.00503295
