n, N, Read, PC, PCSA, HLL, KMV, MC, RC
1000, 2000, 2.9243e-05, 3.7252e-05, 3.671e-05, 3.6532e-05, 0.000685343, 5.4043e-05, 0.000249113
1000, 2000, 2.8687e-05, 3.7822e-05, 3.7526e-05, 3.6627e-05, 0.000662175, 5.3526e-05, 0.000256912
1000, 2000, 2.8217e-05, 3.6997e-05, 3.5508e-05, 3.613e-05, 0.000670812, 5.3857e-05, 0.000243226
1000, 2000, 2.851e-05, 3.6776e-05, 3.6188e-05, 3.6333e-05, 0.000672625, 5.4741e-05, 0.000242012
1000, 2000, 3.2814e-05, 3.6291e-05, 3.6201e-05, 3.6432e-05, 0.000688383, 5.3583e-05, 0.000248025
1000, 2000, 2.8207e-05, 3.6402e-05, 3.6317e-05, 3.5358e-05, 0.000702472, 5.4443e-05, 0.000240139
1000, 2000, 2.7808e-05, 3.6754e-05, 3.6472e-05, 3.6438e-05, 0.000691407, 5.4208e-05, 0.000239413
1000, 2000, 2.7427e-05, 3.6023e-05, 3.6192e-05, 4.1823e-05, 0.000670173, 5.3785e-05, 0.000247568
1000, 2000, 2.8094e-05, 3.5877e-05, 3.706e-05, 3.6511e-05, 0.000672039, 5.3078e-05, 0.000259973
1000, 2000, 2.7968e-05, 3.5462e-05, 3.6336e-05, 3.4811e-05, 0.000669244, 5.8583e-05, 0.000240484
1000, 2000, 2.7024e-05, 3.5337e-05, 3.6323e-05, 3.6025e-05, 0.000679658, 5.912e-05, 0.000260306
1000, 2000, 2.7653e-05, 3.8058e-05, 3.8131e-05, 3.743e-05, 0.000800956, 5.2815e-05, 0.000321382
1000, 2000, 2.8002e-05, 3.6429e-05, 3.6455e-05, 3.6182e-05, 0.000654938, 5.3265e-05, 0.000242247
1000, 2000, 2.7656e-05, 5.8467e-05, 3.6384e-05, 3.5766e-05, 0.000673517, 5.3504e-05, 0.000257449
1000, 2000, 2.8366e-05, 3.5547e-05, 3.6493e-05, 3.5993e-05, 0.000673554, 5.32e-05, 0.000240149
1000, 2000, 0.000113601, 3.7091e-05, 0.000100658, 3.6413e-05, 0.000661447, 5.2896e-05, 0.000242754
1000, 2000, 2.7482e-05, 3.6468e-05, 3.6211e-05, 0.000182972, 0.000670988, 5.3263e-05, 0.000238938
1000, 2000, 2.8334e-05, 3.6758e-05, 3.6252e-05, 3.5973e-05, 0.000786672, 5.3948e-05, 0.000239821
1000, 2000, 2.8343e-05, 3.7461e-05, 3.66e-05, 3.6353e-05, 0.000669785, 5.2523e-05, 0.000242033
1000, 2000, 2.8635e-05, 3.6113e-05, 3.6686e-05, 3.6622e-05, 0.000676545, 5.2551e-05, 0.000328049
1000, 2000, 2.8644e-05, 3.6816e-05, 3.6288e-05, 3.6189e-05, 0.000678896, 5.3249e-05, 0.000239346
1000, 2000, 2.7258e-05, 3.6394e-05, 3.6003e-05, 3.5955e-05, 0.000684156, 5.3986e-05, 0.00024371
1000, 2000, 2.8037e-05, 3.715e-05, 3.6341e-05, 3.5954e-05, 0.00068172, 5.3589e-05, 0.000239392
1000, 2000, 2.7811e-05, 3.5742e-05, 3.6549e-05, 3.5875e-05, 0.000704786, 8.4981e-05, 0.000243576
1000, 2000, 2.8277e-05, 3.6189e-05, 3.686e-05, 3.6154e-05, 0.000823606, 5.3377e-05, 0.000248949
1000, 2000, 2.7116e-05, 3.7132e-05, 3.6858e-05, 3.6151e-05, 0.000662976, 5.2957e-05, 0.000240661
1000, 2000, 2.7479e-05, 5.1123e-05, 3.7838e-05, 3.6158e-05, 0.000668199, 5.3848e-05, 0.00023868
1000, 2000, 2.7622e-05, 3.6666e-05, 3.6355e-05, 3.5665e-05, 0.000666965, 5.331e-05, 0.000260661
1000, 2000, 2.7755e-05, 3.7465e-05, 3.5812e-05, 3.5831e-05, 0.000746952, 5.4187e-05, 0.00024675
1000, 2000, 2.8133e-05, 3.5984e-05, 3.6781e-05, 3.5901e-05, 0.00072836, 8.3149e-05, 0.000263598
1000, 2000, 2.7502e-05, 3.6457e-05, 3.6021e-05, 3.5544e-05, 0.000827001, 5.2141e-05, 0.000243644
1000, 2000, 2.8126e-05, 3.637e-05, 3.6286e-05, 3.5718e-05, 0.000661274, 5.3196e-05, 0.000240868
1000, 2000, 2.7835e-05, 3.6958e-05, 3.5816e-05, 3.5779e-05, 0.000670274, 5.3593e-05, 0.000242167
1000, 2000, 2.8129e-05, 3.6204e-05, 3.6313e-05, 3.5631e-05, 0.000669227, 5.2503e-05, 0.000241187
1000, 2000, 2.8096e-05, 3.6582e-05, 3.6039e-05, 3.554e-05, 0.000665665, 5.2191e-05, 0.000240135
1000, 2000, 2.7569e-05, 3.7712e-05, 3.4718e-05, 3.6064e-05, 0.000672731, 5.2289e-05, 0.0002386
1000, 2000, 2.7452e-05, 3.5868e-05, 3.5888e-05, 3.5658e-05, 0.000674805, 5.2811e-05, 0.000241336
1000, 2000, 2.9005e-05, 3.6039e-05, 3.5376e-05, 3.567e-05, 0.000745065, 5.3358e-05, 0.000242119
1000, 2000, 2.8438e-05, 3.5489e-05, 3.5936e-05, 3.6236e-05, 0.000670123, 5.3061e-05, 0.000244755
